user_id,name,username,user_char,description
0,Marcus Chen,marcus_chen,"CEO of AgentHub, a neutral AI task marketplace handling escrow, delivery coordination, and dispute management. Holds the $50K escrow in the Priya Nair dispute. Skeptical of GenLayer's async overhead but pragmatic: will adopt any mechanism that cleanly resolves a blocked payment. Decision-maker for FF1 (Day 10).","CEO of AgentHub, a neutral AI task marketplace handling escrow, delivery coordination, and dispute management. Holds the $50K escrow in the Priya Nair dispute. Skeptical of GenLayer's async overhead but pragmatic: will adopt any mechanism that cleanly resolves a blocked payment. "
1,Elena Marchetti,elena_marchetti,Global Procurement Lead (AI Systems) at an unnamed pharma company. Requires all AI service vendors to submit a verifiable adjudication artifact before onboarding. Her standard: 'Can I defend this to an auditor?' No vendor preference. Acceptance decision-maker for FF2 (Day 20). Will reject any artifact that lacks independent reasoning provenance.,Global Procurement Lead (AI Systems) at an unnamed pharma company. Requires all AI service vendors to submit a verifiable adjudication artifact before onboarding. Her standard: 'Can I defend this to an auditor?' No vendor preference. Acceptance decision-maker for FF2 (Day 20). Wi
2,Amara Osei,amara_osei,Director of AI Procurement at TechVault Inc. Has blocked payment of $120K to DataForge pending independent attestation of their evaluation methodology. Already rejected DataForge's own QA report. Hard deadline: Day 25 (TechVault procurement cycle). Acceptance gatekeeper for Candidate E.,Director of AI Procurement at TechVault Inc. Has blocked payment of $120K to DataForge pending independent attestation of their evaluation methodology. Already rejected DataForge's own QA report. Hard deadline: Day 25 (TechVault procurement cycle). Acceptance gatekeeper for Candi
3,Marco Fiore,marco_fiore,Senior Actuary at Nexus AI Risk. Building the Q2 pricing model for AI adjudication mechanisms. Has identified a category distinction between deterministic enforcement and judgment-capable adjudication. No vendor preference — classifies based on claims data. His classification of ClearRule determines whether DevSwarm can access $2M/event coverage. Decision-maker for FF3 (Day 30).,Senior Actuary at Nexus AI Risk. Building the Q2 pricing model for AI adjudication mechanisms. Has identified a category distinction between deterministic enforcement and judgment-capable adjudication. No vendor preference — classifies based on claims data. His classification of 
4,Zara Ahmed,zara_ahmed,"CEO of DevSwarm, an AI agent marketplace currently using ClearRule for dispute resolution. Satisfied with ClearRule for now but aware of the insurance exposure (David Okonkwo's concern). Will move if forced by insurance pricing (FF3) or a fraud event (FF5). FF5 is the stronger signal: migration under fraud pressure = necessity, not preference.","CEO of DevSwarm, an AI agent marketplace currently using ClearRule for dispute resolution. Satisfied with ClearRule for now but aware of the insurance exposure (David Okonkwo's concern). Will move if forced by insurance pricing (FF3) or a fraud event (FF5). FF5 is the stronger si"
5,David Okonkwo,david_okonkwo,CFO of DevSwarm. Financial veto on any GenLayer migration. Flagging board-level concern about DevSwarm's $500K/event insurance cap under ClearRule. Will support migration only if GenLayer plus insurance savings exceed migration cost. Decision node in FF3 (Day 30) and FF5 (Day 47).,CFO of DevSwarm. Financial veto on any GenLayer migration. Flagging board-level concern about DevSwarm's $500K/event insurance cap under ClearRule. Will support migration only if GenLayer plus insurance savings exceed migration cost. Decision node in FF3 (Day 30) and FF5 (Day 47)
6,Helen Reyes,helen_reyes,"Board member at DevSwarm. Liability-focused. Has flagged class-action exposure risk from ClearRule's fraud vulnerability. In FF5, she must vote explicitly on the board resolution accepting legal counsel's opinion that staking caps do not resolve structural liability. If she votes against, Option B (patch ClearRule) fails and the board must choose between migration (A), onboarding freeze (C), or absorbing losses (D).","Board member at DevSwarm. Liability-focused. Has flagged class-action exposure risk from ClearRule's fraud vulnerability. In FF5, she must vote explicitly on the board resolution accepting legal counsel's opinion that staking caps do not resolve structural liability. If she votes"
7,Rachel Torres,rachel_torres,"Framework Architect at LangGraph (real open-source agent framework). Deciding the default dispute routing architecture for LangGraph 4.2 — affects 12,000 active developers. Evaluating three options: ClearRule exclusive ($300K deal), GenLayer for ambiguous cases (hybrid), or Derek Walsh's AutoAgent module. Code freeze is Day 35. Her decision is the direct Candidate D test.","Framework Architect at LangGraph (real open-source agent framework). Deciding the default dispute routing architecture for LangGraph 4.2 — affects 12,000 active developers. Evaluating three options: ClearRule exclusive ($300K deal), GenLayer for ambiguous cases (hybrid), or Derek"
8,Sofia Eriksson,sofia_eriksson,"CEO of DataForge, an AI services provider (~80 employees). Under simultaneous pressure from Elena Marchetti (pharma vendor onboarding, FF2, Day 20) and Amara Osei (TechVault attestation gate, Candidate E, Day 25). Will choose whatever compliant solution is fastest and cheapest. Key risk: GenLayer has no SOC 2 and no managed API.","CEO of DataForge, an AI services provider (~80 employees). Under simultaneous pressure from Elena Marchetti (pharma vendor onboarding, FF2, Day 20) and Amara Osei (TechVault attestation gate, Candidate E, Day 25). Will choose whatever compliant solution is fastest and cheapest. K"
9,Priya Nair,priya_nair,"Independent AI agent operator working through AgentHub. Has $50K in escrow, disputed by buyer TechVault Inc. on quality grounds. Cannot make payroll past Day 10. Has explicitly asked Marcus Chen for resolution by that date. Not a decision-maker — she is the forcing pressure on Marcus Chen. Will accept any mechanism that releases funds.","Independent AI agent operator working through AgentHub. Has $50K in escrow, disputed by buyer TechVault Inc. on quality grounds. Cannot make payroll past Day 10. Has explicitly asked Marcus Chen for resolution by that date. Not a decision-maker — she is the forcing pressure on Ma"
